Brand,Price,Body,Mileage,EngineV,Engine Type,Registration,Year,Model
BMW,4200,sedan,277,2,Petrol,yes,1991,320
Mercedes-Benz,7900,van,427,2.9,Diesel,yes,1999,Sprinter 212
Mercedes-Benz,13300,sedan,358,5,Gas,yes,2003,S 500
Audi,23000,crossover,240,4.2,Petrol,yes,2007,Q7
Toyota,18300,crossover,120,2,Petrol,yes,2011,Rav 4
Mercedes-Benz,199999,crossover,0,5.5,Petrol,yes,2016,GLS 63
BMW,6100,sedan,438,2,Gas,yes,1997,320
Audi,14200,vagon,200,2.7,Diesel,yes,2006,A6
Renault,10799,vagon,193,1.5,Diesel,yes,2012,Megane
Volkswagen,1400,other,212,1.8,Gas,no,1999,Golf IV
Renault,11950,vagon,177,1.5,Diesel,yes,2011,Megane
Renault,2500,sedan,260,1.79,Petrol,yes,1994,19
Audi,9500,vagon,165,2.7,Gas,yes,2003,A6 Allroad
Volkswagen,10500,sedan,100,1.8,Petrol,yes,2008,Passat B6
Toyota,16000,crossover,250,4.7,Gas,yes,2001,Land Cruiser 100
Renault,8600,hatch,84,1.5,Diesel,yes,2012,Clio
BMW,2990,other,203,2,Petrol,no,2001,318
Mercedes-Benz,NA,van,240,2.2,Diesel,yes,2007,Vito
Toyota,26500,crossover,21,2,Petrol,yes,2013,Rav 4
Audi,3500,vagon,250,2.5,Diesel,no,1998,A6
Toyota,38233,other,0,2.4,Diesel,yes,2016,Hilux
Volkswagen,7500,hatch,132,1.4,Diesel,yes,2006,Polo
Audi,6800,sedan,225,2.4,Gas,yes,1998,A6
Mitsubishi,10500,crossover,130,2.4,Gas,yes,2006,Outlander
Audi,24900,sedan,163,4.2,Diesel,yes,2008,A8
Volkswagen,20800,crossover,151,3,Diesel,yes,2008,Touareg
Audi,6500,sedan,330,2.4,Petrol,yes,1999,A6
Mercedes-Benz,13566,other,171,2.2,Other,no,2011,Vito
Mitsubishi,8500,hatch,65,1.3,Petrol,yes,2010,Colt
Mercedes-Benz,NA,crossover,0,4.6,Petrol,yes,2016,GLS 500
Audi,2900,sedan,1,2.3,Gas,yes,1989,100
BMW,21500,other,72,3,Petrol,yes,2007,Z4
Mitsubishi,17900,crossover,87,3.8,Gas,yes,2008,Pajero Wagon
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5
Volkswagen,9800,van,160,1.9,Diesel,yes,2009,Caddy
Toyota,14500,sedan,147,2.4,Gas,yes,2006,Camry
BMW,6000,sedan,300,2.8,Petrol,yes,1996,528
BMW,67500,crossover,1,2.5,Diesel,yes,2016,X5
Audi,33900,other,14,1.8,Petrol,yes,2014,TT
Audi,2500,sedan,180,NA,Petrol,no,2000,A4
Mercedes-Benz,9800,van,230,2.15,Diesel,yes,2004,Vito
Mercedes-Benz,63000,crossover,86,5.5,Petrol,yes,2009,G 55 AMG
BMW,7700,sedan,326,2.8,Petrol,yes,1998,528
Mercedes-Benz,9600,van,30,2.2,Diesel,yes,2006,Vito
Toyota,12800,sedan,181,2.4,Petrol,yes,2008,Camry
BMW,41000,crossover,80,3,Petrol,yes,2012,X6
Mitsubishi,2500,sedan,220,2.4,Petrol,yes,1987,Galant
BMW,3700,sedan,231,2.5,Petrol,yes,1990,525
Mercedes-Benz,29500,sedan,134,5,Petrol,yes,2008,S 500
BMW,6500,sedan,335,2.8,Petrol,yes,1996,528
Mercedes-Benz,NA,sedan,145,3.2,Diesel,yes,2007,E-Class
Renault,8250,van,66,1.5,Diesel,yes,2014,Kangoo
Mercedes-Benz,19500,crossover,172,3.5,Other,yes,2008,ML 350
Mercedes-Benz,13500,sedan,317,5,Petrol,yes,2001,S 500
Mercedes-Benz,9200,van,266,2.2,Diesel,yes,2008,Vito
Mercedes-Benz,NA,crossover,0,3,Diesel,yes,2016,GLS 350
Toyota,10900,sedan,156,NA,Gas,yes,2005,Camry
Volkswagen,5000,vagon,265,2,Diesel,no,2006,Passat B6
BMW,23900,crossover,162,4.8,Petrol,yes,2007,X5
BMW,36900,sedan,81,3,Diesel,yes,2010,730
BMW,8900,other,253,1.8,Petrol,yes,1995,318
Renault,7800,van,200,1.9,Diesel,yes,2002,Trafic
BMW,133000,crossover,7,4.4,Petrol,yes,2015,X5 M
BMW,1650,sedan,270,1.8,Petrol,no,1995,318
Mercedes-Benz,50000,sedan,240,3.5,Petrol,yes,2006,S 350
